订单号,产品码,消费日期,产品说明,数量,单价,用户码,城市
536401,22117,6/1/2020 11:21,产品说明掩码,1,2.95,15862,深圳
536401,21169,6/1/2020 11:21,产品说明掩码,2,1.69,15862,深圳
536401,48129,6/1/2020 11:21,产品说明掩码,1,7.95,15862,深圳
536401,82580,6/1/2020 11:21,产品说明掩码,1,0.55,15862,深圳
536401,82578,6/1/2020 11:21,产品说明掩码,1,0.55,15862,深圳
536401,82581,6/1/2020 11:21,产品说明掩码,2,0.55,15862,深圳
536401,22413,6/1/2020 11:21,产品说明掩码,4,2.95,15862,深圳
536401,21907,6/1/2020 11:21,产品说明掩码,2,2.1,15862,深圳
536401,22441,6/1/2020 11:21,产品说明掩码,1,2.1,15862,深圳
536401,21122,6/1/2020 11:21,产品说明掩码,1,1.25,15862,深圳
536401,22851,6/1/2020 11:21,产品说明掩码,1,0.85,15862,深圳
536401,84991,6/1/2020 11:21,产品说明掩码,3,0.55,15862,深圳
536401,22810,6/1/2020 11:21,产品说明掩码,1,2.95,15862,深圳
536401,22809,6/1/2020 11:21,产品说明掩码,1,2.95,15862,深圳
536401,22435,6/1/2020 11:21,产品说明掩码,2,1.25,15862,深圳
536401,20966,6/1/2020 11:21,产品说明掩码,3,1.25,15862,深圳
536401,20963,6/1/2020 11:21,产品说明掩码,1,1.25,15862,深圳
536401,20961,6/1/2020 11:21,产品说明掩码,1,1.25,15862,深圳
536401,22068,6/1/2020 11:21,产品说明掩码,2,1.65,15862,深圳
536401,21743,6/1/2020 11:21,产品说明掩码,2,2.95,15862,深圳
536401,21744,6/1/2020 11:21,产品说明掩码,2,2.95,15862,深圳
536401,84709B,6/1/2020 11:21,产品说明掩码,1,5.95,15862,深圳
536401,21592,6/1/2020 11:21,产品说明掩码,1,1.25,15862,深圳
536401,21587,6/1/2020 11:21,产品说明掩码,2,2.55,15862,深圳
536401,20992,6/1/2020 11:21,产品说明掩码,9,0.85,15862,深圳
536401,22662,6/1/2020 11:21,产品说明掩码,1,1.65,15862,深圳
536401,85123A,6/1/2020 11:21,产品说明掩码,4,2.95,15862,深圳
536401,22804,6/1/2020 11:21,产品说明掩码,3,2.95,15862,深圳
536401,82483,6/1/2020 11:21,产品说明掩码,1,5.95,15862,深圳
536401,20749,6/1/2020 11:21,产品说明掩码,1,7.95,15862,深圳
536401,20725,6/1/2020 11:21,产品说明掩码,1,1.65,15862,深圳
536401,22382,6/1/2020 11:21,产品说明掩码,2,1.65,15862,深圳
536401,20726,6/1/2020 11:21,产品说明掩码,1,1.65,15862,深圳
536401,22384,6/1/2020 11:21,产品说明掩码,1,1.65,15862,深圳
536401,22467,6/1/2020 11:21,产品说明掩码,5,2.55,15862,深圳
536401,84625C,6/1/2020 11:21,产品说明掩码,3,2.95,15862,深圳
536401,84625A,6/1/2020 11:21,产品说明掩码,3,2.95,15862,深圳
536401,21108,6/1/2020 11:21,产品说明掩码,9,2.55,15862,深圳
536401,22848,6/1/2020 11:21,产品说明掩码,1,16.95,15862,深圳
536401,21033,6/1/2020 11:21,产品说明掩码,4,2.95,15862,深圳
536401,47570B,6/1/2020 11:21,产品说明掩码,1,10.65,15862,深圳
536401,84030E,6/1/2020 11:21,产品说明掩码,1,4.25,15862,深圳
536401,22428,6/1/2020 11:21,产品说明掩码,2,6.95,15862,深圳
536401,22502,6/1/2020 11:21,产品说明掩码,2,5.95,15862,深圳
536402,22086,6/1/2020 11:22,产品说明掩码,40,2.55,15513,成都
536402,22910,6/1/2020 11:22,产品说明掩码,40,2.55,15513,成都
536402,22837,6/1/2020 11:22,产品说明掩码,36,4.25,15513,成都
536446,85172,6/1/2020 12:15,产品说明掩码,32,0.42,15983,广州
536446,22142,6/1/2020 12:15,产品说明掩码,2,1.45,15983,广州
536446,22144,6/1/2020 12:15,产品说明掩码,2,2.1,15983,广州
536446,21591,6/1/2020 12:15,产品说明掩码,6,1.25,15983,广州
536446,22480,6/1/2020 12:15,产品说明掩码,12,1.25,15983,广州
536446,22294,6/1/2020 12:15,产品说明掩码,48,1.25,15983,广州
536446,21156,6/1/2020 12:15,产品说明掩码,1,1.95,15983,广州
536446,10133,6/1/2020 12:15,产品说明掩码,5,0.85,15983,广州
536446,72800E,6/1/2020 12:15,产品说明掩码,6,2.55,15983,广州
536446,22294,6/1/2020 12:15,产品说明掩码,24,1.25,15983,广州
536446,84836,6/1/2020 12:15,产品说明掩码,12,1.25,15983,广州
536446,20774,6/1/2020 12:15,产品说明掩码,2,1.65,15983,广州
536446,20773,6/1/2020 12:15,产品说明掩码,2,1.65,15983,广州
536446,20777,6/1/2020 12:15,产品说明掩码,2,1.65,15983,广州
536446,16016,6/1/2020 12:15,产品说明掩码,10,0.85,15983,广州
536446,16014,6/1/2020 12:15,产品说明掩码,10,0.42,15983,广州
536446,21890,6/1/2020 12:15,产品说明掩码,2,2.95,15983,广州
536446,21891,6/1/2020 12:15,产品说明掩码,2,1.25,15983,广州
536446,22619,6/1/2020 12:15,产品说明掩码,8,3.75,15983,广州
536446,22620,6/1/2020 12:15,产品说明掩码,6,1.25,15983,广州
536446,84347,6/1/2020 12:15,产品说明掩码,12,2.55,15983,广州
536446,85169B,6/1/2020 12:15,产品说明掩码,24,1.25,15983,广州
536446,21156,6/1/2020 12:15,产品说明掩码,3,1.95,15983,广州
536446,21651,6/1/2020 12:15,产品说明掩码,6,1.65,15983,广州
536446,21651,6/1/2020 12:15,产品说明掩码,6,1.65,15983,广州
536446,84625C,6/1/2020 12:15,产品说明掩码,10,2.95,15983,广州
536446,22618,6/1/2020 12:15,产品说明掩码,2,9.95,15983,广州
536446,21586,6/1/2020 12:15,产品说明掩码,4,2.55,15983,广州
536446,21587,6/1/2020 12:15,产品说明掩码,4,2.55,15983,广州
536446,22152,6/1/2020 12:15,产品说明掩码,24,0.42,15983,广州
536446,85172,6/1/2020 12:15,产品说明掩码,16,0.42,15983,广州
536446,84754,6/1/2020 12:15,产品说明掩码,24,1.25,15983,广州
536460,22670,6/1/2020 12:22,产品说明掩码,12,1.25,14849,北京
536460,21586,6/1/2020 12:22,产品说明掩码,12,2.55,14849,北京
536460,84992,6/1/2020 12:22,产品说明掩码,24,0.55,14849,北京
536460,84879,6/1/2020 12:22,产品说明掩码,24,1.69,14849,北京
536460,84849B,6/1/2020 12:22,产品说明掩码,12,1.69,14849,北京
536460,22927,6/1/2020 12:22,产品说明掩码,2,5.95,14849,北京
536460,22926,6/1/2020 12:22,产品说明掩码,4,5.95,14849,北京
536460,22925,6/1/2020 12:22,产品说明掩码,2,5.95,14849,北京
536460,21977,6/1/2020 12:22,产品说明掩码,24,0.55,14849,北京
536460,21485,6/1/2020 12:22,产品说明掩码,6,4.95,14849,北京
536460,21484,6/1/2020 12:22,产品说明掩码,8,3.45,14849,北京
536460,21259,6/1/2020 12:22,产品说明掩码,2,5.95,14849,北京
536460,21257,6/1/2020 12:22,产品说明掩码,2,7.95,14849,北京
536460,21121,6/1/2020 12:22,产品说明掩码,24,1.25,14849,北京
536463,82552,6/1/2020 12:22,产品说明掩码,12,1.45,14849,北京
536466,22960,6/1/2020 12:23,产品说明掩码,6,4.25,14849,北京
536466,22961,6/1/2020 12:23,产品说明掩码,12,1.45,14849,北京
536520,21794,6/1/2020 12:43,产品说明掩码,1,6.75,14729,北京
536520,20707,6/1/2020 12:43,产品说明掩码,1,1.25,14729,北京
536520,21175,6/1/2020 12:43,产品说明掩码,1,2.1,14729,北京
536520,22926,6/1/2020 12:43,产品说明掩码,1,5.95,14729,北京
536520,22588,6/1/2020 12:43,产品说明掩码,2,2.55,14729,北京
536520,21292,6/1/2020 12:43,产品说明掩码,16,0.85,14729,北京
536520,21890,6/1/2020 12:43,产品说明掩码,1,2.95,14729,北京
536520,22632,6/1/2020 12:43,产品说明掩码,4,2.1,14729,北京
536520,22633,6/1/2020 12:43,产品说明掩码,3,2.1,14729,北京
536520,22670,6/1/2020 12:43,产品说明掩码,1,1.25,14729,北京
536520,21867,6/1/2020 12:43,产品说明掩码,1,1.25,14729,北京
536520,22760,6/1/2020 12:43,产品说明掩码,1,12.75,14729,北京
536520,22107,6/1/2020 12:43,产品说明掩码,2,3.75,14729,北京
536520,22470,6/1/2020 12:43,产品说明掩码,1,2.95,14729,北京
536520,21486,6/1/2020 12:43,产品说明掩码,1,3.75,14729,北京
536520,22151,6/1/2020 12:43,产品说明掩码,14,0.42,14729,北京
536520,22643,6/1/2020 12:43,产品说明掩码,4,2.55,14729,北京
536520,22642,6/1/2020 12:43,产品说明掩码,4,2.55,14729,北京
536520,22604,6/1/2020 12:43,产品说明掩码,3,2.55,14729,北京
536520,22099,6/1/2020 12:43,产品说明掩码,2,1.25,14729,北京
536520,22553,6/1/2020 12:43,产品说明掩码,1,1.65,14729,北京
536520,22551,6/1/2020 12:43,产品说明掩码,1,1.65,14729,北京
536520,22653,6/1/2020 12:43,产品说明掩码,1,1.95,14729,北京
536520,22557,6/1/2020 12:43,产品说明掩码,2,1.65,14729,北京
536520,22906,6/1/2020 12:43,产品说明掩码,6,1.65,14729,北京
536520,22754,6/1/2020 12:43,产品说明掩码,1,0.85,14729,北京
536520,22938,6/1/2020 12:43,产品说明掩码,5,1.95,14729,北京
536520,22812,6/1/2020 12:43,产品说明掩码,3,1.95,14729,北京
536520,22919,6/1/2020 12:43,产品说明掩码,2,0.65,14729,北京
536520,22917,6/1/2020 12:43,产品说明掩码,1,0.65,14729,北京
536520,22920,6/1/2020 12:43,产品说明掩码,3,0.65,14729,北京
536520,22921,6/1/2020 12:43,产品说明掩码,2,0.65,14729,北京
536520,22918,6/1/2020 12:43,产品说明掩码,2,0.65,14729,北京
536520,22916,6/1/2020 12:43,产品说明掩码,1,0.65,14729,北京
536520,85123A,6/1/2020 12:43,产品说明掩码,3,2.95,14729,北京
536520,22575,6/1/2020 12:43,产品说明掩码,1,1.95,14729,北京
536520,21804,6/1/2020 12:43,产品说明掩码,3,3.75,14729,北京
536520,21584,6/1/2020 12:43,产品说明掩码,12,1.65,14729,北京
536520,21588,6/1/2020 12:43,产品说明掩码,3,2.55,14729,北京
536520,22152,6/1/2020 12:43,产品说明掩码,12,0.42,14729,北京
536520,22441,6/1/2020 12:43,产品说明掩码,1,2.1,14729,北京
536520,22955,6/1/2020 12:43,产品说明掩码,2,2.1,14729,北京
536520,22956,6/1/2020 12:43,产品说明掩码,2,2.1,14729,北京
536520,22582,6/1/2020 12:43,产品说明掩码,2,2.55,14729,北京
536520,22583,6/1/2020 12:43,产品说明掩码,3,2.55,14729,北京
536520,22241,6/1/2020 12:43,产品说明掩码,2,1.25,14729,北京
536520,22904,6/1/2020 12:43,产品说明掩码,3,2.95,14729,北京
536520,22905,6/1/2020 12:43,产品说明掩码,2,2.95,14729,北京
536520,22197,6/1/2020 12:43,产品说明掩码,3,0.85,14729,北京
536520,22092,6/1/2020 12:43,产品说明掩码,1,1.25,14729,北京
536520,22469,6/1/2020 12:43,产品说明掩码,1,1.65,14729,北京
536520,22100,6/1/2020 12:43,产品说明掩码,1,1.25,14729,北京
536520,22096,6/1/2020 12:43,产品说明掩码,1,1.25,14729,北京
536520,22583,6/1/2020 12:43,产品说明掩码,1,2.55,14729,北京
536520,21358,6/1/2020 12:43,产品说明掩码,2,1.25,14729,北京
536520,21123,6/1/2020 12:43,产品说明掩码,1,1.25,14729,北京
536520,21124,6/1/2020 12:43,产品说明掩码,1,1.25,14729,北京
536520,21122,6/1/2020 12:43,产品说明掩码,1,1.25,14729,北京
536520,84378,6/1/2020 12:43,产品说明掩码,1,1.25,14729,北京
536520,21985,6/1/2020 12:43,产品说明掩码,12,0.29,14729,北京
536520,21427,6/1/2020 12:43,产品说明掩码,2,2.1,14729,北京
536520,21034,6/1/2020 12:43,产品说明掩码,2,0.95,14729,北京
536520,21930,6/1/2020 12:43,产品说明掩码,1,1.95,14729,北京
536520,20772,6/1/2020 12:43,产品说明掩码,1,2.55,14729,北京
536520,22469,6/1/2020 12:43,产品说明掩码,2,1.65,14729,北京
536520,71406C,6/1/2020 12:43,产品说明掩码,12,0.42,14729,北京
536520,84985A,6/1/2020 12:43,产品说明掩码,1,1.45,14729,北京
536520,20754,6/1/2020 12:43,产品说明掩码,1,2.1,14729,北京
536520,84596E,6/1/2020 12:43,产品说明掩码,1,1.25,14729,北京
536520,21111,6/1/2020 12:43,产品说明掩码,1,2.95,14729,北京
536520,22501,6/1/2020 12:43,产品说明掩码,1,9.95,14729,北京
536522,84997D,6/1/2020 12:49,产品说明掩码,1,3.75,15012,北京
536522,47599A,6/1/2020 12:49,产品说明掩码,1,2.1,15012,北京
536522,47599B,6/1/2020 12:49,产品说明掩码,1,2.1,15012,北京
536522,22749,6/1/2020 12:49,产品说明掩码,1,3.75,15012,北京
536522,20972,6/1/2020 12:49,产品说明掩码,1,1.25,15012,北京
536522,22569,6/1/2020 12:49,产品说明掩码,1,3.75,15012,北京
536522,21041,6/1/2020 12:49,产品说明掩码,1,2.95,15012,北京
536522,21664,6/1/2020 12:49,产品说明掩码,2,3.75,15012,北京
536522,84969,6/1/2020 12:49,产品说明掩码,1,4.25,15012,北京
536522,22907,6/1/2020 12:49,产品说明掩码,1,0.85,15012,北京
536522,22865,6/1/2020 12:49,产品说明掩码,2,2.1,15012,北京
536522,22866,6/1/2020 12:49,产品说明掩码,1,2.1,15012,北京
536522,22632,6/1/2020 12:49,产品说明掩码,2,2.1,15012,北京
536522,22776,6/1/2020 12:49,产品说明掩码,1,9.95,15012,北京
536522,22338,6/1/2020 12:49,产品说明掩码,2,0.65,15012,北京
536522,21810,6/1/2020 12:49,产品说明掩码,2,1.25,15012,北京
536522,22449,6/1/2020 12:49,产品说明掩码,1,3.35,15012,北京
536522,21197,6/1/2020 12:49,产品说明掩码,1,1.65,15012,北京
536522,85231G,6/1/2020 12:49,产品说明掩码,1,0.85,15012,北京
536522,21121,6/1/2020 12:49,产品说明掩码,1,1.25,15012,北京
536522,22151,6/1/2020 12:49,产品说明掩码,2,0.42,15012,北京
536522,84836,6/1/2020 12:49,产品说明掩码,2,1.25,15012,北京
536522,21326,6/1/2020 12:49,产品说明掩码,12,0.65,15012,北京
536522,85035B,6/1/2020 12:49,产品说明掩码,1,4.25,15012,北京
536522,84968C,6/1/2020 12:49,产品说明掩码,1,12.75,15012,北京
536522,85231B,6/1/2020 12:49,产品说明掩码,1,0.85,15012,北京
536522,22739,6/1/2020 12:49,产品说明掩码,5,1.65,15012,北京
536522,37370,6/1/2020 12:49,产品说明掩码,2,1.25,15012,北京
536522,22941,6/1/2020 12:49,产品说明掩码,1,8.5,15012,北京
536522,21098,6/1/2020 12:49,产品说明掩码,2,1.25,15012,北京
536522,22151,6/1/2020 12:49,产品说明掩码,1,0.42,15012,北京
536522,84836,6/1/2020 12:49,产品说明掩码,1,1.25,15012,北京
536522,20914,6/1/2020 12:49,产品说明掩码,1,2.95,15012,北京
536522,22749,6/1/2020 12:49,产品说明掩码,2,3.75,15012,北京
536522,21190,6/1/2020 12:49,产品说明掩码,1,1.65,15012,北京
536522,84997C,6/1/2020 12:49,产品说明掩码,1,3.75,15012,北京
536522,21810,6/1/2020 12:49,产品说明掩码,1,1.25,15012,北京
536522,21192,6/1/2020 12:49,产品说明掩码,3,1.65,15012,北京
536522,85014A,6/1/2020 12:49,产品说明掩码,1,5.95,15012,北京
536522,21124,6/1/2020 12:49,产品说明掩码,2,1.25,15012,北京
536522,72800B,6/1/2020 12:49,产品说明掩码,2,2.55,15012,北京
536522,84563A,6/1/2020 12:49,产品说明掩码,1,5.95,15012,北京
536522,22107,6/1/2020 12:49,产品说明掩码,2,3.75,15012,北京
536522,47504H,6/1/2020 12:49,产品说明掩码,1,1.95,15012,北京
536522,21121,6/1/2020 12:49,产品说明掩码,1,1.25,15012,北京
536522,21122,6/1/2020 12:49,产品说明掩码,1,1.25,15012,北京
536522,21742,6/1/2020 12:49,产品说明掩码,1,5.95,15012,北京
536522,22566,6/1/2020 12:49,产品说明掩码,1,0.85,15012,北京
536522,21664,6/1/2020 12:49,产品说明掩码,1,3.75,15012,北京
536522,22632,6/1/2020 12:49,产品说明掩码,1,2.1,15012,北京
536522,21122,6/1/2020 12:49,产品说明掩码,1,1.25,15012,北京
536522,22481,6/1/2020 12:49,产品说明掩码,3,1.25,15012,北京
536522,85099B,6/1/2020 12:49,产品说明掩码,1,1.95,15012,北京
536522,21931,6/1/2020 12:49,产品说明掩码,1,1.95,15012,北京
536528,22815,6/1/2020 13:17,产品说明掩码,12,0.42,15525,成都
536528,22865,6/1/2020 13:17,产品说明掩码,1,2.1,15525,成都
536528,22585,6/1/2020 13:17,产品说明掩码,6,1.25,15525,成都
536528,21587,6/1/2020 13:17,产品说明掩码,1,2.55,15525,成都
536528,84985A,6/1/2020 13:17,产品说明掩码,1,1.45,15525,成都
536528,85114B,6/1/2020 13:17,产品说明掩码,1,1.65,15525,成都
536528,22813,6/1/2020 13:17,产品说明掩码,3,1.95,15525,成都
536528,22128,6/1/2020 13:17,产品说明掩码,6,1.25,15525,成都
536528,22839,6/1/2020 13:17,产品说明掩码,1,14.95,15525,成都
536528,22584,6/1/2020 13:17,产品说明掩码,2,2.55,15525,成都
536528,22130,6/1/2020 13:17,产品说明掩码,12,0.85,15525,成都
536528,22938,6/1/2020 13:17,产品说明掩码,3,1.95,15525,成都
536528,22411,6/1/2020 13:17,产品说明掩码,1,1.95,15525,成都
536528,21731,6/1/2020 13:17,产品说明掩码,2,1.65,15525,成都
536528,22616,6/1/2020 13:17,产品说明掩码,1,0.29,15525,成都
536528,22454,6/1/2020 13:17,产品说明掩码,1,2.95,15525,成都
536528,22865,6/1/2020 13:17,产品说明掩码,1,2.1,15525,成都
536528,21992,6/1/2020 13:17,产品说明掩码,1,2.95,15525,成都
536528,22326,6/1/2020 13:17,产品说明掩码,4,2.95,15525,成都
536528,22082,6/1/2020 13:17,产品说明掩码,1,1.65,15525,成都
536528,85049E,6/1/2020 13:17,产品说明掩码,1,1.25,15525,成都
536528,22077,6/1/2020 13:17,产品说明掩码,2,1.65,15525,成都
536528,85049A,6/1/2020 13:17,产品说明掩码,1,1.25,15525,成都
536528,22865,6/1/2020 13:17,产品说明掩码,2,2.1,15525,成都
536528,22867,6/1/2020 13:17,产品说明掩码,3,2.1,15525,成都
536528,22910,6/1/2020 13:17,产品说明掩码,3,2.95,15525,成都
536528,22963,6/1/2020 13:17,产品说明掩码,2,0.85,15525,成都
536528,22960,6/1/2020 13:17,产品说明掩码,1,4.25,15525,成都
536528,85114C,6/1/2020 13:17,产品说明掩码,1,1.65,15525,成都
536528,85114B,6/1/2020 13:17,产品说明掩码,1,1.65,15525,成都
536528,22974,6/1/2020 13:17,产品说明掩码,2,1.65,15525,成都
536528,22423,6/1/2020 13:17,产品说明掩码,1,12.75,15525,成都
536528,21452,6/1/2020 13:17,产品说明掩码,2,2.95,15525,成都
536528,22938,6/1/2020 13:17,产品说明掩码,1,1.95,15525,成都
536528,22812,6/1/2020 13:17,产品说明掩码,3,1.95,15525,成都
536528,22584,6/1/2020 13:17,产品说明掩码,2,2.55,15525,成都
536528,22744,6/1/2020 13:17,产品说明掩码,2,2.95,15525,成都
536528,22743,6/1/2020 13:17,产品说明掩码,1,2.95,15525,成都
536528,22911,6/1/2020 13:17,产品说明掩码,1,2.95,15525,成都
536528,22585,6/1/2020 13:17,产品说明掩码,5,1.25,15525,成都
536528,22900,6/1/2020 13:17,产品说明掩码,1,2.95,15525,成都
536528,22911,6/1/2020 13:17,产品说明掩码,1,2.95,15525,成都
536528,22743,6/1/2020 13:17,产品说明掩码,1,2.95,15525,成都
536528,22744,6/1/2020 13:17,产品说明掩码,2,2.95,15525,成都
536528,22961,6/1/2020 13:17,产品说明掩码,1,1.45,15525,成都
536528,22411,6/1/2020 13:17,产品说明掩码,1,1.95,15525,成都
536528,22454,6/1/2020 13:17,产品说明掩码,2,2.95,15525,成都
536528,22453,6/1/2020 13:17,产品说明掩码,1,2.95,15525,成都
536528,84985A,6/1/2020 13:17,产品说明掩码,1,1.45,15525,成都
536528,22445,6/1/2020 13:17,产品说明掩码,4,2.95,15525,成都
536528,22568,6/1/2020 13:17,产品说明掩码,3,3.75,15525,成都
536528,22570,6/1/2020 13:17,产品说明掩码,1,3.75,15525,成都
536528,22607,6/1/2020 13:17,产品说明掩码,1,9.95,15525,成都
536528,22635,6/1/2020 13:17,产品说明掩码,1,9.95,15525,成都
536528,22634,6/1/2020 13:17,产品说明掩码,1,9.95,15525,成都
536528,22839,6/1/2020 13:17,产品说明掩码,1,14.95,15525,成都
536528,22968,6/1/2020 13:17,产品说明掩码,3,9.95,15525,成都
536531,21519,6/1/2020 13:23,产品说明掩码,24,0.42,15485,成都
536531,22819,6/1/2020 13:23,产品说明掩码,24,0.42,15485,成都
536531,21506,6/1/2020 13:23,产品说明掩码,24,0.42,15485,成都
536531,22704,6/1/2020 13:23,产品说明掩码,25,0.42,15485,成都
536531,21498,6/1/2020 13:23,产品说明掩码,25,0.42,15485,成都
536531,15056N,6/1/2020 13:23,产品说明掩码,12,5.95,15485,成都
536531,15056BL,6/1/2020 13:23,产品说明掩码,12,5.95,15485,成都
536531,20679,6/1/2020 13:23,产品说明掩码,12,5.95,15485,成都
536531,22049,6/1/2020 13:23,产品说明掩码,25,0.42,15485,成都
536531,21498,6/1/2020 13:23,产品说明掩码,25,0.42,15485,成都
536531,21497,6/1/2020 13:23,产品说明掩码,25,0.42,15485,成都
536531,21333,6/1/2020 13:23,产品说明掩码,12,2.95,15485,成都
536531,22727,6/1/2020 13:23,产品说明掩码,9,3.75,15485,成都
536531,22726,6/1/2020 13:23,产品说明掩码,9,3.75,15485,成都
536531,22730,6/1/2020 13:23,产品说明掩码,9,3.75,15485,成都
536531,22086,6/1/2020 13:23,产品说明掩码,80,2.55,15485,成都
